TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PACE_PER40,POSS,PIE,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,TEAM,YEAR
1610612745,Houston Rockets,82,52,30,0.634,48.5,43.0,89.8,0.479,11.5,31.5,0.364,17.8,23.4,0.763,15.0,33.1,48.1,25.4,15.4,8.5,5.8,4.7,18.3,20.0,115.2,5.2,117.5,112.1,5.4,0.591,1.65,17.8,0.388,0.701,0.545,0.157,0.542,0.576,96.98,80.82,8042,0.533,40.5,88.0,0.46,12.4,35.3,0.351,16.7,22.1,0.756,11.3,28.2,39.5,24.5,13.4,9.0,4.7,5.8,20.0,18.3,110.0,HOU,25-26
1610612754,Indiana Pacers,82,19,63,0.232,48.2,40.8,89.1,0.458,13.4,37.6,0.356,17.4,22.5,0.776,9.8,32.1,41.9,27.7,14.5,7.4,4.6,4.8,20.9,19.9,112.4,-8.0,110.1,117.9,-7.8,0.678,1.91,19.4,0.263,0.695,0.475,0.142,0.533,0.568,101.78,84.81,8377,0.465,44.3,90.5,0.489,12.1,34.1,0.355,19.8,25.6,0.773,11.2,35.4,46.7,26.4,13.5,8.1,4.8,4.6,19.9,20.9,120.4,IND,25-26
1610612746,LA Clippers,82,42,40,0.512,48.2,40.5,83.6,0.484,12.4,33.8,0.368,20.3,24.7,0.823,9.6,31.0,40.6,23.7,14.3,9.0,4.9,4.6,18.9,20.1,113.8,1.1,116.3,115.2,1.1,0.586,1.66,17.7,0.284,0.681,0.49,0.147,0.559,0.602,97.29,81.07,8019,0.508,41.0,87.5,0.469,13.3,36.4,0.364,17.3,21.7,0.796,11.5,30.8,42.4,26.1,14.3,8.5,4.6,4.9,20.1,18.9,112.6,LAC,25-26
1610612747,Los Angeles Lakers,82,53,29,0.646,48.1,42.0,83.7,0.502,11.8,32.9,0.359,20.4,26.8,0.763,9.4,31.5,41.0,25.9,14.5,8.5,4.3,3.5,18.5,21.0,116.3,1.8,117.0,115.5,1.5,0.615,1.79,18.7,0.285,0.7,0.499,0.146,0.573,0.609,99.22,82.68,8156,0.513,42.5,88.1,0.483,12.8,36.4,0.352,16.8,21.2,0.792,10.9,30.1,41.0,27.4,14.6,8.9,3.5,4.3,21.0,18.5,114.6,LAL,25-26
1610612763,Memphis Grizzlies,82,25,57,0.305,48.1,41.3,90.6,0.456,13.9,39.5,0.353,18.0,22.8,0.793,11.2,31.0,42.1,27.8,15.1,8.8,4.8,5.3,20.5,19.5,114.7,-6.0,112.4,118.4,-6.0,0.673,1.85,19.2,0.301,0.663,0.478,0.148,0.533,0.57,101.69,84.74,8365,0.47,44.1,91.0,0.485,14.0,38.6,0.364,18.5,23.8,0.775,12.7,34.0,46.8,28.2,15.5,8.8,5.3,4.8,19.5,20.5,120.7,MEM,25-26
1610612748,Miami Heat,82,43,39,0.524,48.1,43.7,93.3,0.468,13.7,37.9,0.361,19.8,25.0,0.792,11.8,34.5,46.3,29.0,13.7,8.6,4.3,4.9,18.9,20.3,120.9,2.3,115.8,113.6,2.1,0.663,2.12,19.5,0.296,0.703,0.499,0.131,0.542,0.58,104.22,86.85,8561,0.514,43.3,93.0,0.465,14.0,39.0,0.359,18.0,22.4,0.804,11.6,34.8,46.4,27.5,15.0,7.9,4.9,4.3,20.3,18.9,118.5,MIA,25-26
1610612749,Milwaukee Bucks,82,32,50,0.39,48.2,40.8,85.5,0.477,15.1,39.1,0.387,13.9,19.1,0.73,8.9,31.8,40.7,25.8,15.2,7.4,4.0,4.1,19.7,17.6,110.6,-6.2,112.2,118.3,-6.1,0.633,1.7,18.9,0.263,0.695,0.482,0.154,0.565,0.589,98.33,81.94,8087,0.464,41.5,87.8,0.473,14.8,39.5,0.375,18.9,24.1,0.785,11.1,33.4,44.5,27.9,13.1,8.7,4.1,4.0,17.6,19.7,116.8,MIL,25-26
1610612750,Minnesota Timberwolves,82,49,33,0.598,48.2,42.6,88.5,0.481,13.8,37.2,0.37,19.0,25.3,0.752,11.1,33.0,44.1,26.1,14.8,8.7,5.8,4.1,21.2,20.5,118.0,3.4,115.6,112.5,3.1,0.612,1.76,18.3,0.302,0.691,0.499,0.145,0.559,0.592,101.5,84.59,8372,0.516,41.4,89.7,0.462,12.1,34.0,0.355,19.8,25.3,0.781,11.8,32.0,43.7,26.0,15.0,8.3,4.1,5.8,20.5,21.2,114.6,MIN,25-26
1610612740,New Orleans Pelicans,82,26,56,0.317,48.3,42.1,90.5,0.466,11.1,32.1,0.347,20.1,25.7,0.784,12.2,31.7,43.9,25.1,14.2,8.9,5.2,5.8,19.9,20.2,115.5,-4.5,113.3,117.6,-4.4,0.596,1.77,17.6,0.311,0.674,0.491,0.139,0.527,0.568,101.37,84.47,8363,0.48,43.8,91.7,0.477,14.2,40.5,0.35,18.3,23.6,0.774,12.7,33.1,45.8,28.1,14.5,8.0,5.8,5.2,20.2,19.9,120.0,NOP,25-26
1610612752,New York Knicks,82,53,29,0.646,48.2,42.7,89.4,0.478,14.2,38.2,0.373,16.8,21.3,0.792,12.7,32.9,45.6,27.4,13.6,8.1,3.9,4.3,20.0,19.5,116.5,6.3,118.7,112.3,6.4,0.643,2.01,19.4,0.328,0.715,0.522,0.139,0.557,0.59,97.71,81.43,8046,0.533,39.3,85.5,0.46,13.9,38.4,0.362,17.6,22.7,0.778,10.0,30.5,40.5,25.0,14.4,7.3,4.3,3.9,19.5,20.0,110.1,NYK,25-26
1610612760,Oklahoma City Thunder,82,64,18,0.78,48.4,43.1,89.1,0.484,13.8,37.9,0.365,19.0,23.2,0.817,9.6,34.6,44.1,25.8,12.6,9.7,5.5,4.4,19.0,20.4,119.0,11.1,117.6,106.5,11.1,0.598,2.05,18.5,0.264,0.697,0.49,0.124,0.561,0.599,100.37,83.64,8301,0.562,38.7,88.4,0.437,14.3,38.9,0.369,16.2,21.9,0.74,11.9,33.3,45.2,25.0,16.7,7.6,4.4,5.5,20.4,19.0,107.9,OKC,25-26
1610612753,Orlando Magic,82,45,37,0.549,48.4,41.0,88.3,0.464,11.7,34.1,0.343,22.0,27.5,0.801,11.0,32.4,43.4,26.5,14.2,8.5,4.7,5.4,21.0,21.9,115.7,0.6,114.2,113.6,0.6,0.647,1.87,18.6,0.306,0.71,0.505,0.14,0.531,0.576,100.56,83.8,8310,0.505,41.7,87.7,0.476,12.1,34.3,0.353,19.6,25.0,0.781,10.5,32.9,43.3,25.3,14.9,8.2,5.4,4.7,21.9,21.0,115.1,ORL,25-26
1610612755,Philadelphia 76ers,82,45,37,0.549,48.5,41.7,90.3,0.462,12.3,35.3,0.349,20.1,24.8,0.809,11.8,31.8,43.6,24.6,13.6,9.1,5.7,5.1,20.3,19.9,115.9,-0.2,114.3,114.4,-0.1,0.589,1.81,17.4,0.306,0.678,0.491,0.134,0.53,0.572,100.39,83.66,8314,0.497,41.8,89.6,0.467,13.4,37.9,0.353,19.0,24.2,0.785,12.1,33.2,45.3,27.6,15.4,7.3,5.1,5.7,19.9,20.3,116.1,PHI,25-26
1610612756,Phoenix Suns,82,45,37,0.549,48.2,41.0,90.1,0.455,14.8,40.8,0.361,15.8,20.3,0.781,13.0,30.1,43.1,24.6,14.5,9.5,4.2,4.5,20.6,18.9,112.6,1.5,114.2,112.9,1.4,0.601,1.7,17.6,0.331,0.677,0.498,0.147,0.537,0.568,98.14,81.79,8083,0.495,40.2,85.5,0.47,12.2,35.1,0.347,18.6,23.6,0.785,11.8,31.9,43.7,25.1,16.3,7.9,4.5,4.2,18.9,20.6,111.1,PHO,25-26
1610612757,Portland Trail Blazers,82,42,40,0.512,48.2,40.9,90.1,0.453,14.5,42.2,0.343,19.3,25.2,0.765,14.1,31.9,46.0,25.1,17.3,8.3,5.5,5.7,19.9,22.0,115.5,-0.3,113.1,113.5,-0.4,0.616,1.46,17.3,0.354,0.688,0.517,0.169,0.534,0.57,101.63,84.69,8370,0.488,42.0,89.3,0.471,12.5,35.0,0.358,19.2,24.3,0.79,12.0,31.0,43.0,26.4,15.6,10.8,5.7,5.5,22.0,19.9,115.8,POR,25-26
1610612758,Sacramento Kings,82,22,60,0.268,48.2,41.6,89.0,0.467,10.3,30.2,0.34,17.6,22.8,0.772,11.5,30.8,42.3,25.5,14.3,8.0,4.5,4.7,19.7,18.3,111.0,-10.0,110.6,120.3,-9.7,0.615,1.78,18.2,0.298,0.685,0.487,0.143,0.525,0.56,100.12,83.43,8233,0.455,44.0,89.0,0.494,13.8,36.5,0.379,19.2,24.4,0.789,11.1,32.8,43.9,28.0,14.0,8.7,4.7,4.5,18.3,19.7,121.0,SAC,25-26
1610612759,San Antonio Spurs,82,62,20,0.756,48.1,43.4,89.9,0.483,13.6,37.9,0.359,19.3,24.6,0.787,11.4,35.6,47.0,28.1,13.5,7.5,5.5,4.6,18.9,20.2,119.8,8.3,118.7,110.4,8.4,0.646,2.09,19.5,0.306,0.724,0.521,0.133,0.559,0.595,100.72,83.93,8275,0.542,41.0,91.1,0.451,13.0,36.9,0.352,16.4,20.8,0.79,10.4,32.1,42.6,26.2,13.0,7.7,4.6,5.5,20.2,18.9,111.5,SAS,25-26
1610612761,Toronto Raptors,82,46,36,0.561,48.2,42.6,88.4,0.482,11.4,32.1,0.354,18.0,23.4,0.769,10.9,31.2,42.1,29.5,13.7,8.8,4.8,5.0,20.9,19.8,114.6,2.8,115.0,112.1,2.9,0.692,2.16,20.5,0.3,0.693,0.496,0.137,0.546,0.581,99.22,82.68,8177,0.522,40.1,85.9,0.467,12.5,35.9,0.349,19.0,24.0,0.793,11.0,31.9,42.9,24.5,16.1,7.8,5.0,4.8,19.8,20.9,111.8,TOR,25-26
1610612762,Utah Jazz,82,22,60,0.268,48.4,42.5,91.1,0.467,12.6,36.7,0.345,19.9,25.3,0.786,12.0,31.8,43.8,29.6,15.5,8.9,3.8,5.8,21.1,20.3,117.6,-8.4,112.7,120.8,-8.2,0.696,1.91,19.9,0.298,0.693,0.492,0.149,0.536,0.575,103.54,86.28,8558,0.464,45.0,91.2,0.494,15.3,41.1,0.372,20.7,26.6,0.777,11.8,33.9,45.7,30.7,14.6,9.3,5.8,3.8,20.3,21.1,126.0,UTA,25-26
1610612764,Washington Wizards,82,17,65,0.207,48.2,41.8,90.4,0.463,13.0,36.4,0.359,16.2,21.2,0.766,11.0,30.9,41.9,25.0,15.7,8.0,5.5,5.4,21.3,17.9,112.9,-12.0,109.7,121.5,-11.8,0.599,1.6,17.6,0.285,0.664,0.471,0.152,0.535,0.566,102.49,85.41,8442,0.433,44.9,92.0,0.488,13.7,37.2,0.368,21.4,26.8,0.797,13.1,34.7,47.8,29.4,13.8,9.7,5.4,5.5,17.9,21.3,124.9,WAS,25-26
