TEAM,YEAR,NBA_PLAYER_ID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,AGE,EXP,SCHOOL
GSW,22-23,1631157,Ryan Rollins,ryan-rollins,2,G,6-3,180,20.0,R,Toledo
GSW,22-23,1629673,Jordan Poole,jordan-poole,3,G,6-4,194,24.0,3,Michigan
GSW,22-23,1630541,Moses Moody,moses-moody,4,G,6-5,211,21.0,1,Arkansas
GSW,22-23,1626172,Kevon Looney,kevon-looney,5,F,6-9,222,27.0,7,UCLA
GSW,22-23,1631116,Patrick Baldwin Jr.,patrick-baldwin-jr,7,F,6-9,220,20.0,R,Wisconsin-Milwaukee
GSW,22-23,1627780,Gary Payton II,gary-payton-ii,8,G,6-2,195,30.0,6,Oregon State
GSW,22-23,2738,Andre Iguodala,andre-iguodala,9,G-F,6-6,215,39.0,18,Arizona
GSW,22-23,1629660,Ty Jerome,ty-jerome,10,G-F,6-5,195,25.0,3,Virginia
GSW,22-23,202691,Klay Thompson,klay-thompson,11,G,6-6,220,33.0,11,Washington State
GSW,22-23,203952,Andrew Wiggins,andrew-wiggins,22,F,6-7,197,28.0,8,Kansas
GSW,22-23,203110,Draymond Green,draymond-green,23,F,6-6,230,33.0,10,Michigan State
GSW,22-23,1631311,Lester Quinones,lester-quinones,25,G,6-4,208,22.0,R,Memphis
GSW,22-23,201939,Stephen Curry,stephen-curry,30,G,6-2,185,35.0,13,Davidson
GSW,22-23,1630237,Anthony Lamb,anthony-lamb,40,F,6-6,227,25.0,2,Vermont
HOU,22-23,1626161,Willie Cauley-Stein,willie-cauley-stein,00,C,7-0,240,29.0,7,Kentucky
HOU,22-23,1631102,TyTy Washington Jr.,tyty-washington-jr,0,G,6-3,195,21.0,R,Kentucky
HOU,22-23,1631095,Jabari Smith Jr.,jabari-smith-jr,1,F,6-11,220,20.0,R,Auburn
HOU,22-23,1629645,Kevin Porter Jr.,kevin-porter-jr,3,G-F,6-4,203,23.0,3,Southern California
HOU,22-23,1630224,Jalen Green,jalen-green,4,G,6-4,186,21.0,1,NBA G League Ignite
HOU,22-23,201571,D.J. Augustin,dj-augustin,4,G,5-11,183,35.0,14,Texas
HOU,22-23,1630620,Darius Days,darius-days,5,F,6-7,245,23.0,R,Winnipeg Sea Bears
HOU,22-23,1630231,KJ Martin,kj-martin,6,F,6-7,215,22.0,2,IMG Academy (FL)
HOU,22-23,1630256,Jae'Sean Tate,jaesean-tate,8,F,6-5,230,27.0,2,Ohio State
HOU,22-23,1630528,Josh Christopher,josh-christopher,9,G,6-4,215,21.0,1,Arizona State
HOU,22-23,1631309,Trevor Hudgins,trevor-hudgins,12,G,6-0,180,24.0,R,Northwest Missouri St.
HOU,22-23,1630227,Daishen Nix,daishen-nix,15,G,6-4,226,21.0,1,NBA G League Ignite
HOU,22-23,1630586,Usman Garuba,usman-garuba,16,F,6-8,229,21.0,1,Real Madrid
HOU,22-23,1631106,Tari Eason,tari-eason,17,F,6-8,215,22.0,R,Louisiana State
HOU,22-23,1630578,Alperen Sengun,alperen-sengun,28,C,6-11,243,20.0,1,Besiktas
HOU,22-23,1626163,Frank Kaminsky,frank-kaminsky,33,F-C,7-0,240,30.0,7,Wisconsin
HOU,22-23,1626246,Boban Marjanovic,boban-marjanovic,51,C,7-4,290,34.0,7,Crvena zvezda
LAC,22-23,201566,Russell Westbrook,russell-westbrook,0,G,6-3,200,34.0,14,UCLA
LAC,22-23,202695,Kawhi Leonard,kawhi-leonard,2,F,6-7,225,32.0,11,San Diego State
LAC,22-23,1630527,Brandon Boston,brandon-boston,4,G,6-6,188,21.0,1,Kentucky
LAC,22-23,1630538,Bones Hyland,bones-hyland,5,G,6-2,169,22.0,1,Virginia Commonwealth
LAC,22-23,1629599,Amir Coffey,amir-coffey,7,G-F,6-7,210,26.0,3,Minnesota
LAC,22-23,202694,Marcus Morris Sr.,marcus-morris-sr,8,F,6-8,218,33.0,11,Kansas
LAC,22-23,201569,Eric Gordon,eric-gordon,10,G,6-3,215,34.0,14,Indiana
LAC,22-23,202331,Paul George,paul-george,13,F,6-8,220,33.0,12,Fresno State
LAC,22-23,1629611,Terance Mann,terance-mann,14,G-F,6-5,215,26.0,3,Florida State
LAC,22-23,1629875,Xavier Moon,xavier-moon,15,G,6-0,165,28.0,1,Morehead State
LAC,22-23,1630554,Jason Preston,jason-preston,17,G,6-3,181,23.0,R,Ohio
LAC,22-23,203496,Robert Covington,robert-covington,23,F,6-7,209,32.0,9,Tennessee State
LAC,22-23,1626181,Norman Powell,norman-powell,24,G,6-4,215,30.0,7,UCLA
LAC,22-23,1631217,Moussa Diabaté,moussa-diabaté,25,F,6-10,210,21.0,R,Michigan
LAC,22-23,201587,Nicolas Batum,nicolas-batum,33,G-F,6-8,230,34.0,14,Le Mans
LAC,22-23,1627826,Ivica Zubac,ivica-zubac,40,C,7-0,240,26.0,6,Mega Basket
LAC,22-23,203486,Mason Plumlee,mason-plumlee,44,F-C,7-0,254,33.0,9,Duke
LAL,22-23,1627885,Shaquille Harrison,shaquille-harrison,0,G,6-4,195,29.0,5,Tulsa
LAL,22-23,1626156,D'Angelo Russell,dangelo-russell,1,G,6-4,193,27.0,7,Ohio State
LAL,22-23,1629020,Jarred Vanderbilt,jarred-vanderbilt,2,F,6-8,214,24.0,4,Kentucky
LAL,22-23,203076,Anthony Davis,anthony-davis,3,F-C,6-10,253,30.0,10,Kentucky
LAL,22-23,1629022,Lonnie Walker IV,lonnie-walker-iv,4,G-F,6-4,204,24.0,4,Miami
LAL,22-23,1627736,Malik Beasley,malik-beasley,5,G,6-4,187,26.0,6,Florida State
LAL,22-23,2544,LeBron James,lebron-james,6,F,6-9,250,38.0,19,St. Vincent-St. Mary HS (OH)
LAL,22-23,1628972,Troy Brown Jr.,troy-brown-jr,7,G-F,6-7,215,23.0,4,Oregon
LAL,22-23,202684,Tristan Thompson,tristan-thompson,9,C-F,6-9,254,32.0,11,Texas-Austin
LAL,22-23,1631108,Max Christie,max-christie,10,G,6-5,190,20.0,R,Michigan State
LAL,22-23,1628964,Mo Bamba,mo-bamba,12,C,7-0,231,25.0,4,Texas
LAL,22-23,1630590,Scotty Pippen Jr.,scotty-pippen-jr,14,G,6-1,170,22.0,R,Vanderbilt
LAL,22-23,1630559,Austin Reaves,austin-reaves,15,G,6-5,197,25.0,1,Oklahoma
LAL,22-23,203471,Dennis Schröder,dennis-schröder,17,G,6-1,172,29.0,9,Braunschweig
LAL,22-23,1631306,Cole Swider,cole-swider,20,F,6-9,220,24.0,R,Syracuse
LAL,22-23,1629060,Rui Hachimura,rui-hachimura,28,F,6-8,230,25.0,3,Gonzaga
LAL,22-23,1629117,Wenyen Gabriel,wenyen-gabriel,35,F,6-9,205,26.0,3,Kentucky
MIA,22-23,201567,Kevin Love,kevin-love,0,F-C,6-8,251,34.0,14,UCLA
MIA,22-23,1629216,Gabe Vincent,gabe-vincent,2,G,6-2,200,27.0,3,California-Santa Barbara
MIA,22-23,203506,Victor Oladipo,victor-oladipo,4,G,6-3,213,31.0,9,Indiana
MIA,22-23,1631107,Nikola Jović,nikola-jović,5,F,6-10,205,20.0,R,Mega Basket
MIA,22-23,200768,Kyle Lowry,kyle-lowry,7,G,6-0,196,37.0,16,Villanova
MIA,22-23,1631288,Jamal Cain,jamal-cain,8,F,6-6,191,24.0,R,Oakland
MIA,22-23,1628389,Bam Adebayo,bam-adebayo,13,C-F,6-9,255,25.0,5,Kentucky
MIA,22-23,1629639,Tyler Herro,tyler-herro,14,G,6-5,195,23.0,3,Kentucky
MIA,22-23,1628997,Caleb Martin,caleb-martin,16,F,6-5,205,27.0,3,Nevada
MIA,22-23,202710,Jimmy Butler III,jimmy-butler-iii,22,F,6-7,230,33.0,11,Marquette
MIA,22-23,1629312,Haywood Highsmith,haywood-highsmith,24,F,6-5,220,26.0,2,Wheeling Jesuit
MIA,22-23,1631115,Orlando Robinson,orlando-robinson,25,C,6-10,235,22.0,R,Fresno State
MIA,22-23,1629622,Max Strus,max-strus,31,G-F,6-5,215,27.0,3,DePaul
MIA,22-23,2617,Udonis Haslem,udonis-haslem,40,F,6-7,235,43.0,19,Florida
MIA,22-23,203469,Cody Zeller,cody-zeller,44,F-C,6-11,240,30.0,9,Indiana
MIA,22-23,1629130,Duncan Robinson,duncan-robinson,55,F,6-7,215,29.0,4,Michigan
MIA,22-23,1630209,Omer Yurtseven,omer-yurtseven,77,C,6-11,275,25.0,1,Georgetown
MIL,22-23,1630699,MarJon Beauchamp,marjon-beauchamp,0,F,6-7,199,22.0,R,NBA G League Ignite
MIL,22-23,203086,Meyers Leonard,meyers-leonard,3,F-C,7-0,260,31.0,9,Illinois
MIL,22-23,1628975,Jevon Carter,jevon-carter,5,G,6-1,200,27.0,4,West Virginia
MIL,22-23,204060,Joe Ingles,joe-ingles,7,F-G,6-9,220,35.0,8,Maccabi Tel Aviv
MIL,22-23,1626171,Bobby Portis,bobby-portis,9,F,6-11,250,28.0,7,Arkansas
MIL,22-23,201572,Brook Lopez,brook-lopez,11,C,7-1,282,35.0,14,Stanford
MIL,22-23,1628960,Grayson Allen,grayson-allen,12,G,6-4,198,27.0,4,Duke
MIL,22-23,1631260,AJ Green,aj-green,20,G,6-5,190,23.0,R,Northern Iowa
MIL,22-23,201950,Jrue Holiday,jrue-holiday,21,G,6-5,205,33.0,13,UCLA
MIL,22-23,203114,Khris Middleton,khris-middleton,22,F,6-7,222,31.0,10,Texas A&M
MIL,22-23,202083,Wesley Matthews,wesley-matthews,23,G,6-5,220,36.0,13,Marquette
MIL,22-23,1626192,Pat Connaughton,pat-connaughton,24,G,6-5,209,30.0,7,Notre Dame
MIL,22-23,1629623,Lindell Wigginton,lindell-wigginton,28,G,6-1,189,25.0,1,Iowa State
MIL,22-23,201609,Goran Dragic,goran-dragic,31,G,6-4,190,37.0,14,Union Olimpija
MIL,22-23,203507,Giannis Antetokounmpo,giannis-antetokounmpo,34,F,7-0,243,28.0,9,Filathlitikos
MIL,22-23,203648,Thanasis Antetokounmpo,thanasis-antetokounmpo,43,F,6-7,219,30.0,4,Panathinaikos
MIL,22-23,203109,Jae Crowder,jae-crowder,99,F,6-6,235,32.0,10,Marquette
MIN,22-23,1630162,Anthony Edwards,anthony-edwards,1,G,6-4,225,21.0,2,Georgia
MIN,22-23,1630183,Jaden McDaniels,jaden-mcdaniels,3,F,6-9,185,22.0,2,Washington
MIN,22-23,1629669,Jaylen Nowell,jaylen-nowell,4,G,6-4,201,23.0,3,Washington
MIN,22-23,203937,Kyle Anderson,kyle-anderson,5,F-G,6-9,230,29.0,8,UCLA
MIN,22-23,1629162,Jordan McLaughlin,jordan-mclaughlin,6,G,6-0,185,27.0,3,Southern California
MIN,22-23,1631111,Wendell Moore Jr.,wendell-moore-jr,7,G,6-5,215,21.0,R,Duke
MIN,22-23,1631169,Josh Minott,josh-minott,8,F,6-8,205,20.0,R,Memphis
MIN,22-23,1629638,Nickeil Alexander-Walker,nickeil-alexander-walker,9,G,6-5,205,24.0,3,Virginia Tech
MIN,22-23,201144,Mike Conley,mike-conley,10,G,6-1,175,35.0,15,Ohio State
MIN,22-23,1629675,Naz Reid,naz-reid,11,C-F,6-9,264,23.0,3,Louisiana State
MIN,22-23,1627752,Taurean Prince,taurean-prince,12,F,6-6,218,29.0,6,Baylor
MIN,22-23,1630233,Nathan Knight,nathan-knight,13,F-C,6-8,253,25.0,2,William & Mary
MIN,22-23,203085,Austin Rivers,austin-rivers,25,G,6-4,200,30.0,10,Duke
MIN,22-23,203497,Rudy Gobert,rudy-gobert,27,C,7-1,258,31.0,9,Cholet
MIN,22-23,1626157,Karl-Anthony Towns,karl-anthony-towns,32,C-F,7-0,248,27.0,7,Kentucky
MIN,22-23,1630346,Matt Ryan,matt-ryan,37,F,6-6,215,26.0,1,Tennessee-Chattanooga
MIN,22-23,1630568,Luka Garza,luka-garza,55,C,6-10,243,24.0,1,Iowa
BRK,22-23,1626220,Royce O'Neale,royce-oneale,00,F,6-6,226,30.0,5,Baylor
BRK,22-23,1630564,RaiQuan Gray,raiquan-gray,0,F,6-7,269,23.0,R,Florida State
BRK,22-23,1628969,Mikal Bridges,mikal-bridges,1,G-F,6-6,209,26.0,4,Villanova
BRK,22-23,1629661,Cameron Johnson,cameron-johnson,2,F,6-8,210,27.0,3,North Carolina
BRK,22-23,1628410,Edmond Sumner,edmond-sumner,4,G,6-4,196,27.0,4,Xavier
BRK,22-23,1630561,David Duke Jr.,david-duke-jr,6,G,6-4,204,23.0,1,Providence
BRK,22-23,201988,Patty Mills,patty-mills,8,G,6-0,180,34.0,13,St. Mary's
BRK,22-23,1630696,Dru Smith,dru-smith,9,G,6-3,203,25.0,R,Missouri
BRK,22-23,1627732,Ben Simmons,ben-simmons,10,G-F,6-10,240,26.0,5,Louisiana State
BRK,22-23,203925,Joe Harris,joe-harris,12,G-F,6-6,220,31.0,8,Virginia
BRK,22-23,1629139,Yuta Watanabe,yuta-watanabe,18,G-F,6-8,215,28.0,4,George Washington
BRK,22-23,1630549,Day'Ron Sharpe,dayron-sharpe,20,C,6-9,265,21.0,1,North Carolina
BRK,22-23,1630560,Cam Thomas,cam-thomas,24,G,6-3,210,21.0,1,Louisiana State
BRK,22-23,203915,Spencer Dinwiddie,spencer-dinwiddie,26,G,6-5,215,30.0,8,Colorado
BRK,22-23,1627827,Dorian Finney-Smith,dorian-finney-smith,28,F,6-7,220,30.0,6,Florida
BRK,22-23,203552,Seth Curry,seth-curry,30,G,6-1,185,32.0,9,Duke
BRK,22-23,1629651,Nic Claxton,nic-claxton,33,C,6-11,215,24.0,3,Georgia
NYK,22-23,1630167,Obi Toppin,obi-toppin,1,F,6-9,220,25.0,2,Dayton
NYK,22-23,1630540,Miles McBride,miles-mcbride,2,G,6-2,195,22.0,1,West Virginia
NYK,22-23,1631211,Trevor Keels,trevor-keels,3,G,6-4,221,19.0,R,Duke
NYK,22-23,1628404,Josh Hart,josh-hart,3,G,6-4,215,28.0,5,Villanova
NYK,22-23,201565,Derrick Rose,derrick-rose,4,G,6-3,200,34.0,13,Memphis
NYK,22-23,1630613,Duane Washington Jr.,duane-washington-jr,4,G,6-2,197,23.0,1,Ohio State
NYK,22-23,1630193,Immanuel Quickley,immanuel-quickley,5,G,6-2,190,24.0,2,Kentucky
NYK,22-23,1629656,Quentin Grimes,quentin-grimes,6,G,6-5,210,23.0,1,Houston
NYK,22-23,1629610,DaQuan Jeffries,daquan-jeffries,8,G-F,6-5,222,25.0,3,Tulsa
NYK,22-23,1629628,RJ Barrett,rj-barrett,9,F-G,6-6,214,23.0,3,Duke
NYK,22-23,1628973,Jalen Brunson,jalen-brunson,11,G,6-2,190,26.0,4,Villanova
NYK,22-23,203095,Evan Fournier,evan-fournier,13,G-F,6-6,205,30.0,10,Poitiers Basket 86
NYK,22-23,1629676,Isaiah Roby,isaiah-roby,18,F,6-8,230,25.0,3,Nebraska
NYK,22-23,1629011,Mitchell Robinson,mitchell-robinson,23,C-F,7-0,240,25.0,4,Western Kentucky
NYK,22-23,203944,Julius Randle,julius-randle,30,F-C,6-8,250,28.0,8,Kentucky
NYK,22-23,1630579,Jericho Sims,jericho-sims,45,C,6-10,250,24.0,1,Texas
NYK,22-23,1628392,Isaiah Hartenstein,isaiah-hartenstein,55,C-F,7-0,250,25.0,4,Zalgiris
ORL,22-23,1628371,Jonathan Isaac,jonathan-isaac,1,F,6-10,230,25.0,5,Florida State
ORL,22-23,1631216,Caleb Houstan,caleb-houstan,2,G,6-8,205,20.0,R,Michigan
ORL,22-23,1629643,Chuma Okeke,chuma-okeke,3,F,6-8,229,24.0,2,Auburn
ORL,22-23,1630591,Jalen Suggs,jalen-suggs,4,G,6-5,205,22.0,1,Gonzaga
ORL,22-23,1631094,Paolo Banchero,paolo-banchero,5,F,6-10,250,20.0,R,Duke
ORL,22-23,1630284,Kevon Harris,kevon-harris,7,G,6-6,216,26.0,R,Stephen F. Austin
ORL,22-23,1629626,Bol Bol,bol-bol,10,C-F,7-2,220,23.0,3,Oregon
ORL,22-23,203487,Michael Carter-Williams,michael-carter-williams,11,G,6-5,190,31.0,8,Syracuse
ORL,22-23,203914,Gary Harris,gary-harris,14,G,6-4,210,28.0,8,Michigan State
ORL,22-23,1628365,Markelle Fultz,markelle-fultz,20,G,6-4,209,25.0,5,Washington
ORL,22-23,1629021,Moritz Wagner,moritz-wagner,21,F-C,6-11,245,26.0,4,Michigan
ORL,22-23,1630532,Franz Wagner,franz-wagner,22,F,6-10,220,21.0,1,Michigan
ORL,22-23,1629678,Admiral Schofield,admiral-schofield,25,F,6-5,241,26.0,2,Tennessee
ORL,22-23,1628976,Wendell Carter Jr.,wendell-carter-jr,34,C-F,6-10,270,24.0,4,Duke
ORL,22-23,1630175,Cole Anthony,cole-anthony,50,G,6-3,185,23.0,2,North Carolina
ORL,22-23,1629048,Goga Bitadze,goga-bitadze,88,C-F,6-11,250,23.0,3,Mega Basket
IND,22-23,1630169,Tyrese Haliburton,tyrese-haliburton,0,G,6-5,185,23.0,2,Iowa State
IND,22-23,1631097,Bennedict Mathurin,bennedict-mathurin,00,G-F,6-5,210,21.0,R,Arizona
IND,22-23,1629614,Andrew Nembhard,andrew-nembhard,2,G-F,6-3,191,23.0,R,Gonzaga
IND,22-23,1630537,Chris Duarte,chris-duarte,3,G,6-5,190,26.0,1,Oregon
IND,22-23,201588,George Hill,george-hill,7,G,6-4,188,37.0,14,Indiana-Purdue Indianapolis
IND,22-23,204456,T.J. McConnell,tj-mcconnell,9,G,6-1,190,31.0,7,Arizona
IND,22-23,1631112,Kendall Brown,kendall-brown,10,G,6-7,205,20.0,R,Baylor
IND,22-23,1629052,Oshae Brissett,oshae-brissett,12,F-G,6-7,210,25.0,3,Syracuse
IND,22-23,1629670,Jordan Nwora,jordan-nwora,13,F,6-9,225,24.0,2,Louisville
IND,22-23,201949,James Johnson,james-johnson,16,F,6-7,240,36.0,13,Wake Forest
IND,22-23,1630543,Isaiah Jackson,isaiah-jackson,22,F,6-9,205,21.0,1,Kentucky
IND,22-23,1630174,Aaron Nesmith,aaron-nesmith,23,G-F,6-5,215,23.0,2,Vanderbilt
IND,22-23,1627741,Buddy Hield,buddy-hield,24,G,6-4,220,30.0,6,Oklahoma
IND,22-23,1630188,Jalen Smith,jalen-smith,25,F-C,6-9,215,23.0,2,Maryland
IND,22-23,1628464,Daniel Theis,daniel-theis,27,F-C,6-8,245,31.0,5,Brose Bamberg
IND,22-23,1628221,Gabe York,gabe-york,32,G,6-3,190,29.0,1,Arizona
IND,22-23,1626167,Myles Turner,myles-turner,33,C-F,6-11,250,27.0,7,Texas
PHI,22-23,1630178,Tyrese Maxey,tyrese-maxey,0,G,6-2,200,22.0,2,Kentucky
PHI,22-23,201935,James Harden,james-harden,1,G,6-5,220,33.0,13,Arizona State
PHI,22-23,1626149,Montrezl Harrell,montrezl-harrell,5,F-C,6-7,240,29.0,7,Louisville
PHI,22-23,1629667,Jalen McDaniels,jalen-mcdaniels,7,F-C,6-9,205,25.0,3,San Diego State
PHI,22-23,1629001,De'Anthony Melton,deanthony-melton,8,G,6-2,200,25.0,4,Southern California
PHI,22-23,1630644,Mac McClung,mac-mcclung,9,G,6-2,185,24.0,1,Texas Tech
PHI,22-23,1630531,Jaden Springer,jaden-springer,11,G,6-4,202,20.0,1,Tennessee
PHI,22-23,202699,Tobias Harris,tobias-harris,12,F,6-7,226,30.0,11,Tennessee
PHI,22-23,203473,Dewayne Dedmon,dewayne-dedmon,14,C,6-10,245,33.0,9,USC
PHI,22-23,200782,P.J. Tucker,pj-tucker,17,F,6-5,245,38.0,11,Texas
PHI,22-23,1629003,Shake Milton,shake-milton,18,G-F,6-5,205,26.0,4,Southern Methodist
PHI,22-23,1627777,Georges Niang,georges-niang,20,F,6-7,230,30.0,6,Iowa State
PHI,22-23,203954,Joel Embiid,joel-embiid,21,C-F,7-0,280,29.0,6,Kansas
PHI,22-23,1629663,Louis King,louis-king,23,F,6-7,205,24.0,3,Oregon
PHI,22-23,1627863,Danuel House Jr.,danuel-house-jr,25,F-G,6-6,220,30.0,6,Texas A&M
PHI,22-23,1627788,Furkan Korkmaz,furkan-korkmaz,30,G-F,6-7,202,25.0,5,Anadolu Efes
PHI,22-23,1630194,Paul Reed,paul-reed,44,F,6-9,210,24.0,2,DePaul
PHO,22-23,1628470,Torrey Craig,torrey-craig,0,F,6-7,221,32.0,5,South Carolina Upstate
PHO,22-23,1626164,Devin Booker,devin-booker,1,G,6-5,206,26.0,7,Kentucky
PHO,22-23,1629006,Josh Okogie,josh-okogie,2,G,6-4,213,24.0,4,Georgia Tech
PHO,22-23,101108,Chris Paul,chris-paul,3,G,6-0,175,38.0,17,Wake Forest
PHO,22-23,203082,Terrence Ross,terrence-ross,8,G-F,6-7,206,32.0,10,Washington
PHO,22-23,1627814,Damion Lee,damion-lee,10,G-F,6-5,210,30.0,5,Drexel
PHO,22-23,1629111,Jock Landale,jock-landale,11,C,6-11,255,27.0,1,St. Mary's
PHO,22-23,1630688,Ish Wainright,ish-wainright,12,F,6-5,250,28.0,1,Baylor
PHO,22-23,1629013,Landry Shamet,landry-shamet,14,G,6-4,190,26.0,4,Wichita State
PHO,22-23,1626166,Cameron Payne,cameron-payne,15,G,6-1,183,28.0,7,Murray State
PHO,22-23,202687,Bismack Biyombo,bismack-biyombo,18,C,6-8,255,30.0,11,Baloncesto Fuenlabrada
PHO,22-23,203933,T.J. Warren,tj-warren,21,F,6-8,220,29.0,7,North Carolina State
PHO,22-23,1629028,Deandre Ayton,deandre-ayton,22,C,7-0,250,24.0,4,Arizona
PHO,22-23,201142,Kevin Durant,kevin-durant,35,F,6-10,240,34.0,15,Texas
PHO,22-23,1630240,Saben Lee,saben-lee,38,G,6-2,183,24.0,2,Vanderbilt
PHO,22-23,1629647,Darius Bazley,darius-bazley,55,F,6-9,216,23.0,3,Princeton HS (OH)
POR,22-23,203081,Damian Lillard,damian-lillard,0,G,6-2,195,32.0,10,Weber State
POR,22-23,1629014,Anfernee Simons,anfernee-simons,1,G,6-3,181,24.0,4,Edgewater HS (FL)
POR,22-23,1630570,Trendon Watford,trendon-watford,2,F,6-8,237,22.0,1,Louisiana State
POR,22-23,1629680,Matisse Thybulle,matisse-thybulle,4,G-F,6-5,201,26.0,3,Washington
POR,22-23,1629629,Cam Reddish,cam-reddish,5,F-G,6-7,217,23.0,3,Duke
POR,22-23,1630553,Keon Johnson,keon-johnson,6,G,6-3,185,21.0,1,Tennessee
POR,22-23,203924,Jerami Grant,jerami-grant,9,F,6-8,210,29.0,8,Syracuse
POR,22-23,1629642,Nassir Little,nassir-little,10,F-G,6-5,220,23.0,3,North Carolina
POR,22-23,1628995,Kevin Knox II,kevin-knox-ii,11,F,6-7,215,23.0,4,Kentucky
POR,22-23,1631101,Shaedon Sharpe,shaedon-sharpe,17,G,6-5,200,20.0,R,Kentucky
POR,22-23,1631219,John Butler Jr.,john-butler-jr,21,F,7-0,190,20.0,R,Florida State
POR,22-23,1629234,Drew Eubanks,drew-eubanks,24,F-C,6-10,245,26.0,4,Oregon State
POR,22-23,1626159,Justise Winslow,justise-winslow,26,F-G,6-6,222,27.0,7,Duke
POR,22-23,203994,Jusuf Nurkić,jusuf-nurkić,27,C,7-0,290,28.0,8,Cedevita
POR,22-23,1631133,Jabari Walker,jabari-walker,34,F,6-7,200,20.0,R,Colorado
POR,22-23,1630641,Ibou Badji,ibou-badji,41,C,7-1,240,20.0,R,FC Barcelona
POR,22-23,1631466,Nate Williams,nate-williams,49,G,6-5,205,24.0,R,Buffalo
SAC,22-23,1628370,Malik Monk,malik-monk,0,G,6-3,200,25.0,5,Kentucky
SAC,22-23,1629056,Terence Davis,terence-davis,3,G,6-4,201,26.0,3,Mississippi
SAC,22-23,1628368,De'Aaron Fox,deaaron-fox,5,G,6-3,185,25.0,5,Kentucky
SAC,22-23,1629002,Chimezie Metu,chimezie-metu,7,F-C,6-9,225,26.0,4,USC
SAC,22-23,203521,Matthew Dellavedova,matthew-dellavedova,8,G,6-3,200,32.0,8,Saint Mary's
SAC,22-23,1628989,Kevin Huerter,kevin-huerter,9,G-F,6-7,198,24.0,4,Maryland
SAC,22-23,1627734,Domantas Sabonis,domantas-sabonis,10,F-C,7-1,240,27.0,6,Gonzaga
SAC,22-23,1631099,Keegan Murray,keegan-murray,13,F,6-8,225,22.0,R,Iowa
SAC,22-23,1630558,Davion Mitchell,davion-mitchell,15,G,6-0,202,24.0,1,Baylor
SAC,22-23,1630556,Kessler Edwards,kessler-edwards,17,F,6-7,203,22.0,1,Pepperdine
SAC,22-23,1626158,Richaun Holmes,richaun-holmes,22,F,6-8,235,29.0,7,Bowling Green
SAC,22-23,1631165,Keon Ellis,keon-ellis,23,G,6-3,175,23.0,R,Alabama
SAC,22-23,203458,Alex Len,alex-len,25,C,7-2,250,30.0,9,Maryland
SAC,22-23,1628408,PJ Dozier,pj-dozier,35,G-F,6-6,205,26.0,5,South Carolina
SAC,22-23,203084,Harrison Barnes,harrison-barnes,40,F,6-8,225,31.0,10,North Carolina
SAC,22-23,1626168,Trey Lyles,trey-lyles,41,F,6-9,234,27.0,7,Kentucky
SAC,22-23,1629674,Neemias Queta,neemias-queta,88,C,7-0,248,23.0,1,Utah State
SAS,22-23,1629640,Keldon Johnson,keldon-johnson,3,F-G,6-5,220,23.0,3,Kentucky
SAS,22-23,1628984,Devonte' Graham,devonte-graham,4,G,6-1,195,28.0,4,Kansas
SAS,22-23,1631110,Jeremy Sochan,jeremy-sochan,10,F,6-8,230,20.0,R,Baylor
SAS,22-23,1631104,Blake Wesley,blake-wesley,14,G,6-4,185,20.0,R,Notre Dame
SAS,22-23,203926,Doug McDermott,doug-mcdermott,17,F,6-6,225,31.0,8,Creighton
SAS,22-23,1631103,Malaki Branham,malaki-branham,22,F,6-4,180,20.0,R,Ohio State
SAS,22-23,1628380,Zach Collins,zach-collins,23,F-C,6-11,250,25.0,5,Gonzaga
SAS,22-23,203920,Khem Birch,khem-birch,24,C,6-8,233,30.0,5,UNLV
SAS,22-23,1630170,Devin Vassell,devin-vassell,24,G-F,6-5,200,22.0,2,Florida State
SAS,22-23,1631230,Dominick Barlow,dominick-barlow,26,F,6-9,215,20.0,R,Overtime Elite
SAS,22-23,1629646,Charles Bassey,charles-bassey,28,C-F,6-9,230,22.0,1,Western Kentucky
SAS,22-23,1630577,Julian Champagnie,julian-champagnie,30,F,6-7,217,22.0,R,St. John's
SAS,22-23,1628966,Keita Bates-Diop,keita-bates-diop,31,F,6-8,229,27.0,4,Ohio State
SAS,22-23,1630200,Tre Jones,tre-jones,33,G,6-1,185,23.0,2,Duke
SAS,22-23,1629641,Romeo Langford,romeo-langford,35,G-F,6-5,216,23.0,3,Indiana
SAS,22-23,203476,Gorgui Dieng,gorgui-dieng,41,C,6-10,248,33.0,9,Louisville
SAS,22-23,1630572,Sandro Mamukelashvili,sandro-mamukelashvili,54,F-C,6-10,240,24.0,1,Seton Hall
OKC,22-23,1628983,Shai Gilgeous-Alexander,shai-gilgeous-alexander,2,G,6-6,195,24.0,4,Kentucky
OKC,22-23,1630581,Josh Giddey,josh-giddey,3,G,6-8,216,20.0,1,NBA Global Academy
OKC,22-23,1629652,Luguentz Dort,luguentz-dort,5,G,6-4,220,24.0,3,Arizona State
OKC,22-23,1631119,Jaylin Williams,jaylin-williams,6,F,6-9,240,21.0,R,Arkansas
OKC,22-23,1631096,Chet Holmgren,chet-holmgren,7,C-F,7-1,195,21.0,R,Gonzaga
OKC,22-23,1631114,Jalen Williams,jalen-williams,8,G-F,6-5,211,22.0,R,Santa Clara
OKC,22-23,203967,Dario Šarić,dario-šarić,9,F-C,6-10,225,29.0,6,Anadolu Efes
