Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Kadary Richmond,richmka01,25-26,WAS,SG,8.3,0.3,3.3,2.7,2.7,0.3,0.7,0.625,0.5,1.0,22.3,0.7,25,10,8,8,1,2,10,16,2,4,3,3,67,2,3,0,0
Kyshawn George,georgky01,25-26,WAS,SF,14.8,0.9,5.1,4.5,1.0,0.9,2.6,0.438,0.381,0.802,29.0,3.5,710,245,214,48,43,125,253,577,99,260,105,131,1391,169,48,48,0
Leaky Black,blackle01,25-26,WAS,SF,7.1,1.0,5.0,1.5,1.2,0.5,0.9,0.388,0.345,0.875,28.9,2.7,106,75,22,18,8,14,40,103,19,55,7,8,433,40,15,9,0
Malaki Branham,branhma01,25-26,WAS,SG,4.6,0.4,1.6,0.8,0.4,0.1,0.5,0.473,0.378,0.824,9.8,0.8,128,44,23,10,3,15,43,91,14,37,28,34,275,21,28,0,0
Sharife Cooper,coopesh01,25-26,WAS,PG,8.1,0.4,2.1,3.0,0.4,0.1,1.5,0.514,0.382,0.833,17.1,1.5,333,86,124,16,5,61,127,247,29,76,50,60,700,61,41,1,0
Skal Labissière,labissk01,25-26,WAS,PF,4.3,1.0,3.0,1.0,0.7,0.3,0.3,0.6,0.2,,12.7,1.0,13,9,3,2,1,1,6,10,1,5,0,0,38,3,3,0,0
Trae Young,youngtr01,25-26,ATL-WAS,PG,17.9,0.3,2.0,8.0,0.9,0.1,2.6,0.458,0.338,0.825,25.6,2.2,269,30,120,13,2,39,81,177,27,80,80,97,384,33,15,15,0
Tre Johnson,johnstr03,25-26,WAS,SG,12.2,0.5,2.8,2.0,0.6,0.3,1.6,0.419,0.358,0.874,24.0,2.0,733,170,122,33,18,93,271,647,115,321,76,87,1443,122,60,42,0
Tristan Vukcevic,vukcetr01,25-26,WAS,C,9.0,0.7,3.0,1.1,0.5,0.7,1.3,0.479,0.347,0.784,13.7,1.7,441,147,55,23,33,62,152,317,50,144,87,111,671,82,49,12,0
Will Riley,rileywi01,25-26,WAS,SF,10.3,0.8,2.9,2.0,0.7,0.1,1.3,0.439,0.316,0.8,22.1,1.2,764,212,146,54,9,94,271,618,78,247,144,180,1633,91,74,18,0
