Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Ja Morant,moranja01,22-23,MEM,PG,26.2,1.0,5.9,8.1,1.1,0.3,3.4,0.466,0.307,0.748,31.9,1.6,1596,357,493,66,16,206,566,1214,92,300,372,497,1948,100,61,59,7
Jacob Gilyard,gilyaja01,22-23,MEM,PG,3.0,0.0,4.0,7.0,3.0,0.0,2.0,0.333,0.333,,41.0,3.0,3,4,7,3,0,2,1,3,1,3,0,0,41,3,1,0,0
Jake LaRavia,laravja01,22-23,MEM,PF,3.0,0.5,1.8,0.6,0.3,0.1,0.5,0.389,0.338,0.778,11.8,1.4,105,63,21,12,4,18,37,95,24,71,7,9,414,49,35,0,0
Jaren Jackson Jr.,jacksja02,22-23,MEM,C,18.6,1.7,6.8,1.0,1.0,3.0,1.7,0.506,0.355,0.788,28.4,3.6,1173,426,60,65,189,107,416,822,100,282,241,306,1787,227,63,63,0
John Konchar,konchjo01,22-23,MEM,SF,5.1,0.9,4.3,1.4,1.1,0.3,0.5,0.431,0.339,0.778,20.8,1.6,364,310,100,77,25,37,138,320,60,177,28,36,1494,112,72,23,0
Kennedy Chandler,chandke01,22-23,MEM,PG,2.2,0.2,1.1,1.6,0.3,0.1,0.5,0.422,0.133,0.462,7.8,0.4,78,38,58,12,5,18,35,83,2,15,6,13,281,15,36,0,0
Kenneth Lofton Jr.,loftoke01,22-23,MEM,PF,5.0,0.8,2.1,0.8,0.2,0.1,0.5,0.527,0.353,0.593,7.3,1.2,120,51,20,5,2,12,49,93,6,17,16,27,176,28,24,1,0
Luke Kennard,kennalu01,22-23,LAC-MEM,SG,9.3,0.3,2.7,1.5,0.5,0.1,0.8,0.492,0.494,0.949,22.3,1.4,546,158,91,32,5,46,188,382,133,269,37,39,1315,82,59,14,0
Santi Aldama,aldamsa01,22-23,MEM,PF,9.0,1.1,4.8,1.3,0.6,0.6,0.8,0.47,0.353,0.75,21.8,1.9,696,371,97,45,48,60,247,525,94,266,108,144,1682,143,77,20,0
Steven Adams,adamsst01,22-23,MEM,C,8.6,5.1,11.5,2.3,0.9,1.1,1.9,0.597,0.0,0.364,27.0,2.3,361,485,97,36,46,79,157,263,0,1,47,129,1133,98,42,42,0
Tyus Jones,jonesty01,22-23,MEM,PG,10.3,0.4,2.5,5.2,1.0,0.1,0.9,0.438,0.371,0.8,24.2,0.4,823,200,417,83,6,74,311,710,121,326,80,100,1940,32,80,22,1
Vince Williams Jr.,willivi01,22-23,MEM,SG,2.0,0.3,1.0,0.3,0.4,0.1,0.3,0.3,0.143,1.0,7.0,0.8,30,15,4,6,2,5,12,40,4,28,2,2,105,12,15,1,0
Xavier Tillman Sr.,tillmxa01,22-23,MEM,C,7.0,2.0,5.0,1.6,1.0,0.5,0.7,0.614,0.267,0.551,19.3,1.6,429,307,96,58,29,44,188,306,4,15,49,89,1180,97,61,29,0
