Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Melvin Frazier,frazime01,21-22,OKC,SG,10.7,1.7,4.3,0.3,0.3,0.0,1.0,0.271,0.048,0.714,40.0,2.7,32,13,1,1,0,3,13,48,1,21,5,7,120,8,3,0,0
Mike Muscala,muscami01,21-22,OKC,C,8.0,0.5,3.0,0.5,0.4,0.6,0.3,0.456,0.429,0.842,13.8,1.3,344,129,22,18,26,14,113,248,70,163,48,57,592,58,43,0,0
Olivier Sarr,sarrol01,21-22,OKC,C,7.0,1.5,4.2,0.9,0.3,0.7,1.0,0.574,0.448,0.828,19.1,2.4,153,93,19,6,15,22,58,101,13,29,24,29,421,52,22,2,0
Paul Watson,watsopa01,21-22,OKC,SF,3.4,0.3,3.0,0.9,0.3,0.3,0.4,0.343,0.231,0.5,17.3,1.1,31,27,8,3,3,4,12,35,6,26,1,2,156,10,9,3,0
Rob Edwards,edwarro01,21-22,OKC,SG,1.5,0.0,1.5,0.0,0.0,0.0,0.5,0.25,0.25,,5.5,0.0,3,3,0,0,0,1,1,4,1,4,0,0,11,0,2,0,0
Scotty Hopson,hopsosc01,21-22,OKC,SG,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.5,0.0,,18.0,1.0,4,1,1,0,0,2,2,4,0,1,0,0,18,1,1,0,0
Shai Gilgeous-Alexander,gilgesh01,21-22,OKC,PG,24.5,0.7,5.0,5.9,1.3,0.8,2.8,0.453,0.3,0.81,34.7,2.5,1371,278,331,71,46,154,477,1052,89,297,328,405,1942,142,56,56,1
Théo Maledon,maledth01,21-22,OKC,PG,7.1,0.4,2.6,2.2,0.6,0.2,1.3,0.375,0.293,0.79,17.8,1.3,361,131,111,31,11,65,119,317,44,150,79,100,908,67,51,7,0
Tre Mann,manntr01,21-22,OKC,PG,10.4,0.4,2.8,1.5,0.8,0.2,1.2,0.393,0.36,0.793,22.8,1.7,625,171,91,47,12,71,231,588,98,272,65,82,1367,102,60,26,0
Ty Jerome,jeromty01,21-22,OKC,SG,7.1,0.4,1.6,2.3,0.6,0.1,0.8,0.378,0.29,0.809,16.7,1.5,340,78,109,30,5,37,124,328,54,186,38,47,801,73,48,4,0
Vít Krejčí,krejcvi01,21-22,OKC,SG,6.2,0.6,3.4,1.9,0.6,0.3,1.0,0.407,0.327,0.864,23.0,2.2,187,101,57,19,8,29,68,167,32,98,19,22,690,65,30,8,0
Zavier Simpson,simpsza01,21-22,OKC,PG,11.0,0.5,5.2,7.5,1.2,1.0,2.5,0.365,0.125,1.0,43.5,3.8,44,21,30,5,4,10,19,52,1,8,5,5,174,15,4,4,0
Aaron Wiggins,wiggiaa01,22-23,OKC,SG,6.8,1.0,3.0,1.1,0.6,0.2,0.8,0.512,0.393,0.831,18.5,1.6,479,210,80,39,15,55,186,363,48,122,59,71,1297,110,70,14,0
Aleksej Pokusevski,pokusal01,22-23,OKC,PF,8.1,1.3,4.7,1.9,0.6,1.3,1.3,0.434,0.365,0.629,20.6,1.7,276,159,64,20,43,43,108,249,38,104,22,35,701,58,34,25,0
Dario Šarić,saricda01,22-23,PHO-OKC,C,6.4,0.9,3.6,1.3,0.4,0.1,1.0,0.458,0.391,0.829,14.1,1.7,362,207,74,20,7,55,127,277,45,115,63,76,806,99,57,12,0
Isaiah Joe,joeis01,22-23,OKC,SG,9.5,0.4,2.4,1.2,0.7,0.1,0.5,0.441,0.409,0.82,19.1,1.4,691,175,88,48,8,39,224,508,161,394,82,100,1395,105,73,10,0
Jalen Williams,willija06,22-23,OKC,SG,14.1,1.1,4.5,3.3,1.4,0.5,1.6,0.521,0.356,0.812,30.3,2.5,1056,337,248,103,35,123,414,794,73,205,155,191,2276,191,75,62,0
Jared Butler,butleja02,22-23,OKC,PG,6.2,0.2,0.7,1.3,0.8,0.0,0.8,0.469,0.5,,12.8,0.8,37,4,8,5,0,5,15,32,7,14,0,0,77,5,6,1,0
Jaylin Williams,willija07,22-23,OKC,C,5.9,0.9,4.9,1.6,0.6,0.2,0.8,0.436,0.407,0.704,18.7,2.3,288,241,76,28,12,37,102,234,46,113,38,54,914,111,49,36,0
Jeremiah Robinson-Earl,robinje02,22-23,OKC,PF,6.8,1.7,4.2,1.0,0.6,0.3,0.4,0.444,0.333,0.833,18.9,1.7,292,180,43,24,11,19,110,248,37,111,35,42,814,71,43,20,0
Josh Giddey,giddejo01,22-23,OKC,PF,16.6,1.9,7.9,6.2,0.8,0.4,2.8,0.482,0.325,0.731,31.1,1.9,1260,599,469,57,31,211,539,1118,76,234,106,145,2367,143,76,76,4
Kenrich Williams,willike04,22-23,OKC,PF,8.0,1.8,4.9,2.0,0.8,0.3,0.6,0.517,0.373,0.436,22.8,2.1,425,261,105,45,14,32,179,346,50,134,17,39,1206,112,53,10,0
Lindy Waters III,waterli01,22-23,OKC,SG,5.2,0.4,1.8,0.7,0.3,0.3,0.2,0.393,0.358,0.8,13.0,1.0,214,75,28,14,11,10,70,178,58,162,16,20,531,42,41,0,0
Luguentz Dort,dortlu01,22-23,OKC,SF,13.7,1.7,4.6,2.1,1.0,0.3,1.2,0.388,0.33,0.772,30.7,3.3,1013,344,154,75,23,92,339,873,135,409,200,259,2272,243,74,73,0
