Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Wendell Carter Jr.,cartewe01,21-22,ORL,PF,15.0,2.2,10.5,2.8,0.6,0.7,1.9,0.525,0.327,0.691,29.9,2.7,931,648,171,36,43,117,359,684,70,214,143,207,1852,169,62,61,0
Admiral Schofield,schofad01,22-23,ORL,PF,4.2,0.6,1.7,0.8,0.2,0.1,0.4,0.451,0.324,0.913,12.2,1.6,155,62,31,8,5,16,55,122,24,74,21,23,451,61,37,0,0
Bol Bol,bolbo01,22-23,ORL,PF,9.1,1.0,5.8,1.0,0.4,1.2,1.6,0.546,0.265,0.759,21.5,1.3,634,405,69,30,85,112,261,478,30,113,82,108,1505,92,70,33,0
Caleb Houstan,houstca01,22-23,ORL,SF,3.8,0.7,1.9,0.6,0.2,0.1,0.4,0.363,0.338,0.833,15.9,1.2,193,99,30,12,7,18,66,182,46,136,15,18,812,63,51,4,0
Chuma Okeke,okekech01,22-23,ORL,SF,4.7,1.0,3.6,1.4,0.7,0.4,0.6,0.352,0.302,0.762,19.2,1.5,128,96,37,19,11,17,43,122,26,86,16,21,518,40,27,8,0
Cole Anthony,anthoco01,22-23,ORL,PG,13.0,0.8,4.8,3.9,0.6,0.5,1.5,0.454,0.364,0.894,25.9,2.6,781,288,235,37,31,91,277,610,75,206,152,170,1552,158,60,4,0
Franz Wagner,wagnefr01,22-23,ORL,SF,18.6,0.9,4.1,3.5,1.0,0.2,2.1,0.485,0.361,0.842,32.6,2.3,1485,329,283,77,17,167,542,1118,130,360,271,322,2609,183,80,80,0
Gary Harris,harriga01,22-23,ORL,SG,8.3,0.4,2.0,1.2,0.9,0.2,0.6,0.45,0.431,0.9,24.7,1.9,397,98,59,45,12,28,138,307,94,218,27,30,1184,93,48,42,0
Goga Bitadze,bitadgo01,22-23,IND-ORL,C,4.4,1.6,3.6,1.0,0.4,0.7,0.6,0.552,0.231,0.548,12.0,1.7,167,137,39,16,26,22,69,125,6,26,23,42,457,64,38,1,0
Jalen Suggs,suggsja01,22-23,ORL,SG,9.9,1.0,3.0,2.9,1.3,0.5,1.8,0.419,0.327,0.723,23.5,2.3,524,161,155,67,27,94,186,444,66,202,86,119,1246,120,53,19,0
Jay Scrubb,scrubja01,22-23,ORL,SG,6.5,0.0,3.0,0.5,1.0,0.0,1.5,0.714,1.0,0.5,15.0,1.0,13,6,1,2,0,3,5,7,2,2,1,2,30,2,2,0,0
Jonathan Isaac,isaacjo01,22-23,ORL,PF,5.0,1.4,4.0,0.5,1.3,0.4,0.4,0.415,0.4,0.556,11.3,0.5,55,44,6,14,4,4,22,53,6,15,5,9,124,5,11,0,0
Kevon Harris,harrike01,22-23,ORL,SG,4.1,0.8,2.1,0.5,0.5,0.1,0.6,0.439,0.372,0.756,13.4,1.6,141,70,16,17,5,21,47,107,16,43,31,41,457,53,34,0,0
Markelle Fultz,fultzma01,22-23,ORL,PG,14.0,1.2,3.9,5.7,1.4,0.4,2.3,0.514,0.31,0.783,29.6,2.2,837,234,341,87,26,139,349,679,27,87,112,143,1778,131,60,60,0
Michael Carter-Williams,cartemi01,22-23,ORL,PG,4.2,0.2,1.2,1.8,0.2,0.2,1.0,0.429,0.333,0.571,11.0,1.2,17,5,7,1,1,4,6,14,1,3,4,7,44,5,4,0,0
Moritz Wagner,wagnemo01,22-23,ORL,C,10.5,1.2,4.5,1.5,0.6,0.2,1.2,0.5,0.313,0.841,19.5,2.4,600,259,84,37,13,68,198,396,51,163,153,182,1109,136,57,18,0
