Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Jalen Wilson,wilsoja03,25-26,BRK,PF,6.4,0.3,2.1,0.9,0.4,0.0,0.7,0.396,0.355,0.719,15.9,1.6,343,114,50,22,2,38,110,278,54,152,69,96,859,85,54,2,0
Josh Minott,minotjo01,25-26,BOS-BRK,PF,7.4,1.0,3.2,0.9,0.9,0.5,0.9,0.5,0.418,0.787,17.0,1.5,364,158,46,44,24,43,126,252,64,153,48,61,834,73,49,11,0
Malachi Smith,smithma02,25-26,BRK,SG,8.3,0.8,3.4,3.3,0.8,0.3,0.9,0.485,0.435,1.0,23.9,0.9,124,51,49,12,4,14,48,99,20,46,8,8,359,13,15,4,0
Michael Porter Jr.,portemi01,25-26,BRK,SF,24.2,1.3,7.1,3.0,1.1,0.2,2.3,0.463,0.363,0.859,32.5,2.2,1259,367,158,55,13,122,444,958,176,485,195,227,1689,116,52,52,0
Nic Claxton,claxtni01,25-26,BRK,C,11.7,2.4,6.9,3.7,0.7,1.1,1.4,0.571,0.158,0.616,27.8,2.3,810,478,253,45,77,96,333,583,3,19,141,229,1920,158,69,68,2
Noah Clowney,clownno01,25-26,BRK,PF,12.3,0.8,4.1,1.6,0.8,0.7,1.5,0.396,0.329,0.804,27.0,2.5,809,273,108,50,45,102,250,631,129,392,180,224,1780,168,66,60,0
Nolan Traoré,traorno01,25-26,BRK,PG,8.9,0.2,1.8,3.8,0.8,0.4,2.3,0.38,0.318,0.787,22.2,2.1,499,99,213,45,23,129,182,479,61,192,74,94,1243,119,56,31,0
Ochai Agbaji,agbajoc01,25-26,TOR-BRK,SG,5.1,0.7,2.3,0.8,0.4,0.3,0.5,0.436,0.266,0.837,15.7,1.5,314,141,47,24,17,31,122,280,34,128,36,43,973,93,62,13,0
Terance Mann,mannte01,25-26,BRK,SG,7.2,1.1,3.2,3.0,0.7,0.2,1.1,0.457,0.364,0.788,24.3,2.5,455,200,190,41,15,71,168,368,56,154,63,80,1529,155,63,51,0
Tre Scott,scotttr01,25-26,BRK,PF,8.0,1.7,5.2,1.7,1.3,0.8,0.7,0.38,0.316,0.667,30.3,2.0,48,31,10,8,5,4,19,50,6,19,4,6,182,12,6,4,0
Tyson Etienne,etienty01,25-26,BRK,PG,7.9,0.2,1.1,1.7,0.5,0.0,0.7,0.4,0.398,0.833,15.8,2.0,189,27,40,11,0,16,58,145,43,108,30,36,380,47,24,2,0
Ziaire Williams,willizi02,25-26,BRK,SF,10.2,0.5,2.4,1.1,1.4,0.4,1.1,0.425,0.343,0.85,22.9,2.1,573,134,60,76,21,59,184,433,86,251,119,140,1281,116,56,13,0
